shell_innermost,shell_layer_count,shell_composition_tier,outer_is_ZnS,route,T_growth_C,time_min,pred_PL_peak_nm,pred_PL_peak_nm_std,maha_distance,extrap_flag,method,iteration,candidate_id
ZnSe,2,double_shell,1,hot_injection,323.5058,474.6255,618.8236,42.1112,3.3051,extrapolation,M2,0,M2-0000
ZnSe,2,double_shell,1,hot_injection,189.6306,340.3196,595.4477,37.3237,1.9476,in_distribution,M2,1,M2-0001
ZnSe,2,double_shell,1,hot_injection,184.4065,13.6385,572.0174,37.0029,0.7565,in_distribution,M2,2,M2-0002
ZnSe,2,double_shell,1,hot_injection,364.6268,13.6315,619.6492,23.3334,2.6298,extrapolation,M2,3,M2-0003
ZnSe,2,double_shell,1,hot_injection,309.1715,28.9320,643.5283,52.8568,1.7599,in_distribution,M2,4,M2-0004
ZnSe,2,double_shell,1,hot_injection,229.4352,3.2306,595.2440,71.3160,1.0884,in_distribution,M2,5,M2-0005
ZnSe,2,double_shell,1,hot_injection,345.3943,15.9873,615.6310,23.4079,2.2956,in_distribution,M2,6,M2-0006
ZnSe,2,double_shell,1,hot_injection,238.0123,465.8430,635.6228,73.9903,2.3302,in_distribution,M2,7,M2-0007
ZnSe,2,double_shell,1,hot_injection,272.3951,256.7777,630.8539,46.4414,2.2724,in_distribution,M2,8,M2-0008
ZnSe,2,double_shell,1,hot_injection,279.2269,52.3725,629.8343,46.9837,1.4683,in_distribution,M2,9,M2-0009
ZnSe,2,double_shell,1,hot_injection,319.2820,56.4016,620.9911,44.5749,2.1795,in_distribution,M2,10,M2-0010
ZnSe,2,double_shell,1,hot_injection,262.1835,594.8782,636.5992,51.5969,2.6971,extrapolation,M2,11,M2-0011
ZnSe,2,double_shell,1,hot_injection,292.9692,19.0629,621.3765,11.0517,1.3492,in_distribution,M2,12,M2-0012
ZnSe,2,double_shell,1,hot_injection,273.8750,547.8264,627.7150,45.1497,2.7640,extrapolation,M2,13,M2-0013
ZnSe,2,double_shell,1,hot_injection,399.5075,3.3453,594.0735,40.5306,3.2023,extrapolation,M2,14,M2-0014
ZnSe,2,double_shell,1,hot_injection,258.8114,599.7508,643.2903,55.9277,2.6704,extrapolation,M2,15,M2-0015
ZnSe,2,double_shell,1,hot_injection,257.6351,594.0505,643.2903,55.9277,2.6533,extrapolation,M2,16,M2-0016
ZnSe,2,double_shell,1,hot_injection,248.1875,587.6616,639.0605,68.0645,2.5636,extrapolation,M2,17,M2-0017
ZnSe,2,double_shell,1,hot_injection,399.8631,449.9364,619.0648,41.9883,4.4579,extrapolation,M2,18,M2-0018
ZnSe,2,double_shell,1,hot_injection,254.6250,407.5329,640.1505,67.3969,2.3791,in_distribution,M2,19,M2-0019
ZnSe,2,double_shell,1,hot_injection,398.9777,43.9323,624.0136,42.9778,3.5343,extrapolation,M2,20,M2-0020
ZnSe,2,double_shell,1,hot_injection,248.1612,125.0356,643.6112,69.1779,1.5502,in_distribution,M2,21,M2-0021
ZnSe,2,double_shell,1,hot_injection,249.3571,192.5143,643.6112,69.1779,1.8408,in_distribution,M2,22,M2-0022
ZnSe,2,double_shell,1,hot_injection,241.7541,153.8195,638.7380,74.3146,1.6238,in_distribution,M2,23,M2-0023
ZnSe,2,double_shell,1,hot_injection,259.6694,141.6988,647.6272,56.3030,1.7552,in_distribution,M2,24,M2-0024
ZnSe,2,double_shell,1,hot_injection,262.4554,124.8096,640.3131,52.4573,1.7102,in_distribution,M2,25,M2-0025
ZnSe,2,double_shell,1,hot_injection,254.1240,147.8703,640.1505,67.3969,1.7200,in_distribution,M2,26,M2-0026
ZnSe,2,double_shell,1,hot_injection,399.9272,135.1127,620.6661,43.0519,3.9384,extrapolation,M2,27,M2-0027
ZnSe,2,double_shell,1,hot_injection,256.6868,147.4754,647.6272,56.3030,1.7464,in_distribution,M2,28,M2-0028
ZnSe,2,double_shell,1,hot_injection,256.5734,160.6087,647.6272,56.3030,1.7989,in_distribution,M2,29,M2-0029
ZnSe,2,double_shell,1,hot_injection,254.5461,186.4785,640.1505,67.3969,1.8723,in_distribution,M2,30,M2-0030
ZnSe,2,double_shell,1,hot_injection,258.1629,150.9557,647.6272,56.3030,1.7775,in_distribution,M2,31,M2-0031
ZnSe,2,double_shell,1,hot_injection,257.1180,146.3482,647.6272,56.3030,1.7463,in_distribution,M2,32,M2-0032
