T_growth_C,time_min,shell_innermost,shell_layer_count,shell_composition_tier,outer_is_ZnS,route,pred_PL_peak_nm,pred_PL_peak_nm_std,maha_distance,extrap_flag,method,candidate_id
300.0000,30.0000,ZnSe,1,single_shell,1,hot_injection,643.6876,53.5331,1.6038,in_distribution,M3,M3-000
300.0000,30.0000,ZnSe,2,double_shell,1,hot_injection,653.5320,49.8881,1.6038,in_distribution,M3,M3-001
300.0000,30.0000,ZnSe,3,triple_plus_shell,1,hot_injection,640.9921,41.4386,1.6038,in_distribution,M3,M3-002
300.0000,30.0000,ZnS,1,single_shell,1,hot_injection,579.0558,57.9290,1.6038,in_distribution,M3,M3-003
300.0000,30.0000,ZnS,2,double_shell,1,hot_injection,553.6849,73.7947,1.6038,in_distribution,M3,M3-004
300.0000,30.0000,ZnS,3,triple_plus_shell,1,hot_injection,565.7862,64.0111,1.6038,in_distribution,M3,M3-005
300.0000,120.0000,ZnSe,1,single_shell,1,hot_injection,633.1461,48.4105,2.2121,in_distribution,M3,M3-006
300.0000,120.0000,ZnSe,2,double_shell,1,hot_injection,630.7398,44.7591,2.2121,in_distribution,M3,M3-007
300.0000,120.0000,ZnSe,3,triple_plus_shell,1,hot_injection,626.1318,36.1809,2.2121,in_distribution,M3,M3-008
300.0000,120.0000,ZnS,1,single_shell,1,hot_injection,591.7315,46.4237,2.2121,in_distribution,M3,M3-009
300.0000,120.0000,ZnS,2,double_shell,1,hot_injection,544.2806,65.1145,2.2121,in_distribution,M3,M3-010
300.0000,120.0000,ZnS,3,triple_plus_shell,1,hot_injection,566.4612,59.1321,2.2121,in_distribution,M3,M3-011
300.0000,480.0000,ZnSe,1,single_shell,1,hot_injection,628.7083,47.8334,2.9933,extrapolation,M3,M3-012
300.0000,480.0000,ZnSe,2,double_shell,1,hot_injection,627.4788,43.4212,2.9933,extrapolation,M3,M3-013
300.0000,480.0000,ZnSe,3,triple_plus_shell,1,hot_injection,624.3137,36.1116,2.9933,extrapolation,M3,M3-014
