cossairt_ref_id,first_author,year,journal,title,doi,PL_nm,QY_pct,FWHM_nm,system_description,synthesis_condition_note,cossairt_table_or_figure,value_source_note,matched_to_L_series,matched_paper_id,matching_confidence,mismatch_reason
COS-001,NR,NR,NR,NR,10.1002/adma.200800724,630,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(trimethylsilyl)phosphine; T=240C; t=20min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=630; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-002,NR,NR,NR,NR,10.1002/adom.201901362,485,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(trimethylsilyl)phosphine; T=280C; t=60min; d=2.3nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=485; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-003,NR,NR,NR,NR,10.1002/adom.202100427,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(dimethylamino)phosphine; T=180C; t=2min; d=2.2nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-004,NR,NR,NR,NR,10.1002/anie.200800281,618,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:phosphorus trichloride; T=210-290C; t=60-240min; d=3.5nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=6; emission_nm=618; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-005,NR,NR,NR,NR,10.1002/cctc.202000616,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(diethylamino)phosphine; T=180C; t=30min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-006,NR,NR,NR,NR,10.1002/cphc.200900159,588,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=150-180C; t=1-120min; d=3.7nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=7; emission_nm=588; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-007,NR,NR,NR,NR,10.1002/jsid.308,500-600 (n=7),NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=180-280C; t=30-240min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=7; emission_nm=500-600 (n=7); QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-008,NR,NR,NR,NR,10.1002/smll.201905162,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=260C; t=60min; d=2.4nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-009,NR,NR,NR,NR,10.1007/s10854-020-05206-5,518-628 (n=2),NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(dimethylamino)phosphine; T=170C; t=10min; d=7.0nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=2; emission_nm=518-628 (n=2); QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-010,NR,NR,NR,NR,10.1007/s11051-013-1750-y,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(dimethylamino)phosphine; T=220C; t=1-30min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=6; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
