in_source,in_amount_mmol,p_source,p_amount_mmol,ligand_source,ligand_amount_mmol,first_sol,first_sol_amount_ml,second_sol,second_sol_amount_ml,third_sol,third_sol_amount_ml,other_1,other_1_amount_mmol,other_2,other_2_amount_mmol,total_volume_ml,temp_c,time_min,diameter_nm,abs_nm,emission_nm
indium acetate,1,tris(trimethylsilyl)phosphine,1,dodecanethiol,0.5,None,0,None,0,None,0,zinc stearate,2,None,0,0.12,300,30,None,480,539
chloroindium oxalate,1.05,tris(trimethylsilyl)phosphine,1.4,None,0,trioctylphosphine oxide,0.222222222,None,0,None,0,None,0,None,0,0.223,270,4320,2.61,610,None
indium chloride,0.3,white phosphorus,0.45,None,0,oleylamine,0.264,None,0,None,0,zinc chloride,1.47,None,0,0.264,180,30,None,560,595
indium chloride,0.3,white phosphorus,0.45,None,0,oleylamine,0.264,None,0,None,0,zinc chloride,1.47,None,0,0.264,210,30,None,590,635
indium acetate,1,tris(trimethylsilyl)phosphine,1,dodecanethiol,0.5,octadecene,1,None,0,None,0,zinc octanoate,2,None,0,1.12,180,60,None,None,500
indium acetate,1,tris(trimethylsilyl)phosphine,1,dodecanethiol,0.5,octadecene,1,None,0,None,0,zinc octanoate,2,None,0,1.12,180,120,None,None,520
indium acetate,1,tris(trimethylsilyl)phosphine,1,dodecanethiol,0.5,octadecene,1,None,0,None,0,zinc octanoate,2,None,0,1.12,180,240,None,None,538
indium acetate,1,tris(trimethylsilyl)phosphine,1,dodecanethiol,0.5,octadecene,1,None,0,None,0,zinc octanoate,2,None,0,1.12,200,75,None,None,540
indium acetate,1,tris(trimethylsilyl)phosphine,1,dodecanethiol,0.5,octadecene,1,None,0,None,0,zinc octanoate,2,None,0,1.12,280,30,None,None,590
indium acetate,1,tris(trimethylsilyl)phosphine,1,dodecanethiol,0.5,octadecene,1,None,0,None,0,zinc octanoate,2,None,0,1.12,280,120,None,None,600
indium acetate,1,tris(trimethylsilyl)phosphine,1,dodecanethiol,0.5,octadecene,1,None,0,None,0,zinc octanoate,2,None,0,1.12,230,30,None,None,560
indium iodide,0.45,tris(dimethylamino)phosphine,1,None,0,oleylamine,1.218,None,0,None,0,zinc chloride,1.1,None,0,1.218,180,3,1.7,480,None
indium chloride,0.3,white phosphorus,0.45,None,0,oleylamine,1.336,None,0,None,0,zinc chloride,1.47,None,0,1.336,150,30,None,492,529
indium chloride,0.3,white phosphorus,0.45,None,0,oleylamine,1.336,None,0,None,0,zinc chloride,1.47,None,0,1.336,180,30,None,522,555
