doi,in_source,in_amount_mmol,p_source,p_amount_mmol,sol,sol_amount_ml,TOP,TOP_amount_mmol,acid,acid_amount_mmol,amine,amine_amount_mmol,thiol,thiol_amount_mmol,zinc,zinc_amount_mmol,other,other_amount_mmol,total_volume_ml,temp_c,time_min,diameter_nm,abs_nm,emission_nm,date_input,user
10.1016/j.jcis.2010.06.037,chloroindium oxalate,4.2,tris(trimethylsilyl)phosphine,2.07,None,0,trioctylphosphine,13.45257005,None,0,None,0,None,0,None,0,trioctylphosphine oxide,11.11111111,17.112,280,4320,None,599,612,6/25/2021,Hao
10.1021/j100019a063,chloroindium oxalate,0.88,tris(trimethylsilyl)phosphine,0.52,None,0,trioctylphosphine,13.49034301,None,0,None,0,None,0,None,0,trioctylphosphine oxide,5.555555556,11.573,270,4320,2.6,530,None,6/25/2021,Hao
10.1021/j100019a063,chloroindium oxalate,1.76,tris(trimethylsilyl)phosphine,1.04,None,0,trioctylphosphine,5.396137205,None,0,None,0,None,0,None,0,trioctylphosphine oxide,0.222222222,2.629,270,4320,3.5,595,None,6/25/2021,Hao
10.1021/j100019a063,chloroindium oxalate,1.76,tris(trimethylsilyl)phosphine,1.04,None,0,trioctylphosphine,5.396137205,None,0,None,0,None,0,None,0,trioctylphosphine oxide,0.222222222,2.629,300,4320,4.6,650,None,6/25/2021,Hao
10.1021/j100070a004,chloroindium oxalate,0.88,tris(trimethylsilyl)phosphine,1.4,None,0,trioctylphosphine,13.49034301,None,0,None,0,None,0,None,0,trioctylphosphine oxide,5.555555556,11.573,270,4320,2.52,520,None,6/25/2021,Hao
10.1021/j100070a004,chloroindium oxalate,0.88,tris(trimethylsilyl)phosphine,1.4,None,0,trioctylphosphine,13.49034301,None,0,None,0,None,0,None,0,trioctylphosphine oxide,5.555555556,11.573,270,8640,2.66,590,None,6/25/2021,Hao
10.1021/j100070a004,chloroindium oxalate,1.05,tris(trimethylsilyl)phosphine,1.4,None,0,None,0,None,0,None,0,None,0,None,0,trioctylphosphine oxide,0.222222222,0.223,270,4320,2.61,610,None,6/25/2021,Hao
10.1002/anie.200800281,indium acetate,0.5,phosphorus trichloride,0.5,octadecene,34,None,0,stearic acid,1.5,None,0,None,0,None,0,superhydride,3,34.901,250,240,3.5,562,618,6/25/2021,Hao
10.1002/anie.200800281,indium acetate,0.5,phosphorus trichloride,0.5,octadecene,34,None,0,stearic acid,1.5,None,0,None,0,None,0,superhydride,3,34.901,210,60,None,473,None,6/25/2021,Hao
10.1002/anie.200800281,indium acetate,0.5,phosphorus trichloride,0.5,octadecene,34,None,0,stearic acid,1.5,None,0,None,0,None,0,superhydride,3,34.901,230,60,None,524,None,6/25/2021,Hao
10.1002/anie.200800281,indium acetate,0.5,phosphorus trichloride,0.5,octadecene,34,None,0,stearic acid,1.5,None,0,None,0,None,0,superhydride,3,34.901,250,60,None,538,None,6/25/2021,Hao
10.1002/anie.200800281,indium acetate,0.5,phosphorus trichloride,0.5,octadecene,34,None,0,stearic acid,1.5,None,0,None,0,None,0,superhydride,3,34.901,270,60,None,576,None,6/25/2021,Hao
