paper_id,year
L001,2021
L002,2019
L003,2021
L005,2018
L006,2017
L007,2021
L009,2019
L010,2025
L011,2023
L012,2019
L013,2022
L014,2024
L015,2025
L016,2023
L017,2024
L018,2025
L019,2016
L020,2020
L021,2021
L022,2023
L023,2017
L024,2017
L025,2023
L026,2024
L028,2022
L029,2020
L032,2016
L033,2016
L034,2017
L035,2016
L036,2020
L037,2023
L038,2019
L039,2024
L040,2025
L041,2025
L042,2025
L043,2023
L044,2020
L045,2022
L046,2024
L047,2023
L048,2020
L049,2025
L050,2019
L051,2022
L052,2018
L053,2019
L054,2023
L055,2023
L056,2020
L057,2023
