paper_id,corpus,recipe_id,sample_id,normalization_trace_id,data_quality_tier,system_tag,route,unknown_route_flag,route_inferred_flag,T_growth_C,time_min,PL_peak_nm_final,PL_peak_nm_core,measurement_state,notes_text,stage_source,shell_present_flag,postprocess_present_flag,shell_presence_ambiguity_flag,ratio_reported_flag,ratio_definition_type,precursor_purity_reported_flag,injection_rate_reported_flag,process_sensitive_reporting_flag,caution_count,QY_percent_final,FWHM_nm_final
L001,InP (L-series),NR-L001-01,L001-S01,TRC-L001-01,literature_structured,InP/ZnS/ZnS,heating_up,yes,no,220,30,510,,final_purified,ZnI2 halide; derived mass; 220C core,main_text,1,0,0,0,,0,0,0,0,38.7,65
L001,InP (L-series),NR-L001-02,L001-S02,TRC-L001-02,literature_structured,InP/ZnS/ZnS,heating_up,yes,no,220,30,547,,final_purified,ZnBr2 halide; main recipe; highest PLQY 78.5%,main_text,1,0,0,0,,0,0,0,0,78.5,77
L001,InP (L-series),NR-L001-03,L001-S03,TRC-L001-03,literature_structured,InP/ZnS/ZnS,heating_up,yes,no,240,30,558,,final_purified,ZnBr2 240C core; shell conditions unknown,main_text,1,0,0,0,,0,0,0,0,72.2,91
L001,InP (L-series),NR-L001-04,L001-S04,TRC-L001-04,literature_structured,InP/ZnS/ZnS,heating_up,yes,no,220,30,611,,final_purified,ZnCl2 halide; derived mass; 220C core,main_text,1,0,0,0,,0,0,0,0,29,76
L002,InP (L-series),NR-L002-01,L002-S01,TRC-L002-01,literature_structured,InP/ZnSe/ZnS,hot_injection,no,no,300,10,631,,final_purified,"QD-1; 320C shell; Zn_ZnS unknown; time unknown [STAGE-FIX: T 260→300 (core at 300C/10min per Methods); t 40→10 (40 had no PDF basis; core growth explicitly 10 min). Shell at 260C only passivates, does not shift PL.]",main_text,1,0,0,0,,0,0,0,0,98,35
L002,InP (L-series),NR-L002-02,L002-S02,TRC-L002-02,literature_structured,InP/ZnSe/ZnS,hot_injection,no,no,300,10,629,,final_purified,"QD-1R; 340C shell; Zn_ZnS unknown; time unknown [STAGE-FIX: T 260→300 (core at 300C/10min per Methods); t 40→10 (40 had no PDF basis; core growth explicitly 10 min). Shell at 260C only passivates, does not shift PL.]",main_text,1,0,0,0,,0,0,0,0,100,39
L002,InP (L-series),NR-L002-03,L002-S03,TRC-L002-03,literature_structured,InP/ZnSe/ZnS,hot_injection,no,no,300,10,627,,final_purified,"QD-2; 320C shell; time unknown [STAGE-FIX: T 260→300 (core at 300C/10min per Methods); t 40→10 (40 had no PDF basis; core growth explicitly 10 min). Shell at 260C only passivates, does not shift PL.]",main_text,1,0,0,0,,0,0,0,0,92,35
L002,InP (L-series),NR-L002-04,L002-S04,TRC-L002-04,literature_structured,InP/ZnSe/ZnS,hot_injection,no,no,300,10,628,,final_purified,"QD-2R; 340C shell; time unknown [STAGE-FIX: T 260→300 (core at 300C/10min per Methods); t 40→10 (40 had no PDF basis; core growth explicitly 10 min). Shell at 260C only passivates, does not shift PL.]",main_text,1,0,0,0,,0,0,0,0,100,37
L002,InP (L-series),NR-L002-05,L002-S05,TRC-L002-05,literature_structured,InP/ZnSe/ZnS,hot_injection,no,no,300,10,630,,final_purified,"QD-3; 320C shell; time ambiguous not assumed [STAGE-FIX: T 260→300 (core at 300C/10min per Methods); t 40→10 (40 had no PDF basis; core growth explicitly 10 min). Shell at 260C only passivates, does not shift PL.]",main_text,1,0,0,0,,0,0,0,0,75,35
L002,InP (L-series),NR-L002-06,L002-S06,TRC-L002-06,literature_structured,InP/ZnSe/ZnS,hot_injection,no,no,300,10,631,,final_purified,"QD-3R; 340C shell; 60min confirmed; hold-free; highest confidence [STAGE-FIX: T 260→300 (core at 300C/10min per Methods); t 40→10 (40 had no PDF basis; core growth explicitly 10 min). Shell at 260C only passivates, does not shift PL.]",main_text,1,0,0,0,,0,0,0,0,100,35
