source,row_id,paper_id_dd,doi,overlap_flag,emission_nm,T_growth_C,time_min,FWHM_nm,QY_percent,PL_peak_nm_core,route,system_tag,shell_present_flag,data_quality_tier,measurement_state,caution_count,abs_nm,diameter_nm,in_source,in_amount_mmol,p_source,p_amount_mmol,ligand_source,ligand_amount_mmol,first_sol,second_sol,acid,acid_amount_mmol,total_volume_ml
dd,NR-L001-01,L001,,0,510,220,30,65,38.7,,heating_up,InP/ZnS/ZnS,1,literature_structured,final_purified,0,,,,,,,,,,,,,
dd,NR-L001-02,L001,,0,547,220,30,77,78.5,,heating_up,InP/ZnS/ZnS,1,literature_structured,final_purified,0,,,,,,,,,,,,,
dd,NR-L001-03,L001,,0,558,240,30,91,72.2,,heating_up,InP/ZnS/ZnS,1,literature_structured,final_purified,0,,,,,,,,,,,,,
dd,NR-L001-04,L001,,0,611,220,30,76,29,,heating_up,InP/ZnS/ZnS,1,literature_structured,final_purified,0,,,,,,,,,,,,,
dd,NR-L002-01,L002,10.1038/s41586-019-1771-5,1,631,300,10,35,98,,hot_injection,InP/ZnSe/ZnS,1,literature_structured,final_purified,0,,,,,,,,,,,,,
dd,NR-L002-02,L002,10.1038/s41586-019-1771-5,1,629,300,10,39,100,,hot_injection,InP/ZnSe/ZnS,1,literature_structured,final_purified,0,,,,,,,,,,,,,
dd,NR-L002-03,L002,10.1038/s41586-019-1771-5,1,627,300,10,35,92,,hot_injection,InP/ZnSe/ZnS,1,literature_structured,final_purified,0,,,,,,,,,,,,,
dd,NR-L002-04,L002,10.1038/s41586-019-1771-5,1,628,300,10,37,100,,hot_injection,InP/ZnSe/ZnS,1,literature_structured,final_purified,0,,,,,,,,,,,,,
dd,NR-L002-05,L002,10.1038/s41586-019-1771-5,1,630,300,10,35,75,,hot_injection,InP/ZnSe/ZnS,1,literature_structured,final_purified,0,,,,,,,,,,,,,
dd,NR-L002-06,L002,10.1038/s41586-019-1771-5,1,631,300,10,35,100,,hot_injection,InP/ZnSe/ZnS,1,literature_structured,final_purified,0,,,,,,,,,,,,,
dd,NR-L003-01,L003,,0,569,240,5,43,82,,hot_injection,InP-In(Zn)P/ZnSe/ZnS,1,literature_structured,final_purified,0,,,,,,,,,,,,,
dd,NR-L003-02,L003,,0,588,270,5,44,87.7,,hot_injection,InP-In(Zn)P/ZnSe/ZnS,1,literature_structured,final_purified,0,,,,,,,,,,,,,
dd,NR-L003-03,L003,,0,601,270,5,43,94.3,,hot_injection,InP-In(Zn)P/ZnSe/ZnS,1,literature_structured,final_purified,0,,,,,,,,,,,,,
dd,NR-L003-04,L003,,0,616,270,5,50,83.1,,hot_injection,InP-In(Zn)P/ZnSe/ZnS,1,literature_structured,final_purified,0,,,,,,,,,,,,,
dd,NR-L003-05,L003,,0,630,270,5,56,94.3,,hot_injection,InP-In(Zn)P/ZnSe/ZnS,1,literature_structured,final_purified,0,,,,,,,,,,,,,
dd,NR-L005-01,L005,,0,607,290,3,48,73,,hot_injection_layer_by_layer,InP/ZnSe/ZnS,1,literature_structured,final_purified,0,,,,,,,,,,,,,
dd,NR-L005-02,L005,,0,606,290,3,55,51,,hot_injection_layer_by_layer,InP/ZnSe/ZnS,1,literature_structured,final_purified,0,,,,,,,,,,,,,
dd,NR-L005-03,L005,,0,607,290,3,51,60,,hot_injection_layer_by_layer,InP/ZnSe/ZnS,1,literature_structured,final_purified,0,,,,,,,,,,,,,
